id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
2386,A,-0.22618749737739563,0.2498375028371811,-0.05623750016093254,-0.0891282930970192,0.49497026205062866,0.8476901650428772,8
2387,S,0.04661250114440918,-0.0004124999977648258,0.007699999958276749,-0.036403872072696686,0.5228085517883301,0.865739107131958,8
2388,X,0.13928750157356262,0.14011250436306,-0.01677500084042549,-0.028557153418660164,0.5406586527824402,0.8527835607528687,8
2389,L,0.14135000109672546,0.1093124970793724,0.042762499302625656,-0.03222813084721565,0.5478935241699219,0.8667639493942261,8
2390,I,0.09446249902248383,0.1518000066280365,-0.003987499978393316,-0.10717727988958359,0.6055126190185547,0.8152631521224976,8
2391,Z,-0.22618749737739563,0.08153750002384186,-0.06476250290870667,-0.055370595306158066,0.5618585348129272,0.8191329836845398,8
2392,E,0.16073749959468842,-0.5970249772071838,-0.13516250252723694,-0.012236595153808594,0.5765424370765686,0.8276985287666321,8
2393,F,-0.11192499846220016,0.12952500581741333,-0.0147124994546175,0.0023402487859129906,0.5967328548431396,0.8410670757293701,8
2394,P,-0.06187500059604645,-0.1592250019311905,0.031075000762939453,-0.04252216964960098,0.596534013748169,0.8625728487968445,8
2395,K,-0.16747500002384186,-0.1985500007867813,0.014024999924004078,-0.05128662660717964,0.5855210423469543,0.8684923052787781,8
2396,Y,0.08195000141859055,-0.22522500157356262,0.031075000762939453,-0.11104710400104523,0.626513659954071,0.7729398012161255,8
2397,A,-0.05444999784231186,0.11247500032186508,0.028875000774860382,-0.03732161596417427,0.5792039632797241,0.8422907590866089,8
2398,A,-0.4092000126838684,0.2913624942302704,-0.07012499868869781,-0.04486241564154625,0.5862399339675903,0.8086400628089905,8
2399,S,0.24062499403953552,-0.21889999508857727,0.04592499881982803,-0.0476156510412693,0.5774601697921753,0.8335109353065491,8
2400,D,0.2204124927520752,-0.22948749363422394,-0.02433750033378601,-0.05414693057537079,0.5728715062141418,0.8074164390563965,8
2401,U,0.30882498621940613,0.3830749988555908,0.10876250267028809,-0.05292327702045441,0.6047937273979187,0.8098637461662292,8
2402,E,0.09790000319480896,-0.0835999995470047,-0.055275000631809235,-0.013659099116921425,0.5840985774993896,0.8601256012916565,8
2403,M,-0.005499999970197678,-0.09308750182390213,0.05555000156164169,-0.03782637417316437,0.611630916595459,0.8242417573928833,8
2404,Z,-0.1471250057220459,0.14863750338554382,-0.04028749838471413,-0.05027710646390915,0.5627763271331787,0.8235228061676025,8
2405,M,0.2129874974489212,0.0826374962925911,-0.007287499960511923,-0.022438855841755867,0.5816512107849121,0.8382067680358887,8
2406,A,-0.022549999877810478,-0.014299999922513962,0.021449999883770943,-0.008764460682868958,0.5840985774993896,0.7441838383674622,8
2407,S,0.12553749978542328,-0.17311249673366547,-0.0009624999947845936,-0.009988120757043362,0.5869435667991638,0.8454416990280151,8
2408,J,0.02433750033378601,0.05912499874830246,-0.021175000816583633,-0.01835489273071289,0.5837926864624023,0.7910958528518677,8
2409,V,-0.25052499771118164,0.16788749396800995,-0.1106875017285347,-0.01540281344205141,0.5310682058334351,0.9058139324188232,8
2410,R,0.1373624950647354,-0.24227499961853027,-0.032862499356269836,0.03476722538471222,0.6067362427711487,0.8732799291610718,8
2411,A,-0.06503749638795853,0.17957499623298645,-0.026399999856948853,-0.026109835132956505,0.5994860529899597,0.8025217652320862,8
2412,G,-0.11522500216960907,-0.16885000467300415,-0.06159999966621399,-0.09422177821397781,0.6309035420417786,0.8117910027503967,8
2413,H,-0.13323749601840973,-0.29026249051094055,0.06091250106692314,-0.09035196155309677,0.5833796262741089,0.9436402916908264,8
2414,M,-0.1588124930858612,-0.2700499892234802,0.07686249911785126,-0.03589911013841629,0.5433048009872437,0.9324284791946411,8
2415,T,0.18095000088214874,0.17957499623298645,0.07906249910593033,-0.09105556458234787,0.6099942922592163,0.7548908591270447,8
2416,L,-0.07039999961853027,-0.2550624907016754,0.13859999179840088,-0.03732161596417427,0.5540118217468262,0.9312048554420471,8
2417,P,-0.18754999339580536,-0.28283751010894775,0.004399999976158142,-0.04293515160679817,0.5935819149017334,0.8877649307250977,8
2418,Y,0.3438875079154968,0.6184750199317932,0.2579500079154968,-0.08423366397619247,0.5955091714859009,0.8291363716125488,8
2419,U,0.19373749196529388,0.1443749964237213,0.029975000768899918,-0.017330078408122063,0.5627763271331787,0.803745448589325,8
2420,V,0.1106875017285347,0.2657875120639801,0.06627500057220459,0.0028603042010217905,0.5804275870323181,0.7874249219894409,8
2421,W,0.07768750190734863,-0.06435000151395798,-0.025437500327825546,-0.011930679902434349,0.5809323787689209,0.8305588960647583,8
2422,K,-0.014987500384449959,0.008112499490380287,0.028875000774860382,-0.01713123358786106,0.5660495758056641,0.8342298865318298,8
2423,T,0.1798499971628189,-0.3051125109195709,-0.21188749372959137,0.049971193075180054,0.5797086954116821,0.8310636281967163,8
